id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7003,All That I Can Say,Mary J. Blige,37,0.665,0.727,9,-7.324,0,0.0559,0.0102,0.00126,0.24100000000000002,0.515,95.926
7004,The Secret Of Life,Faith Hill,64,0.718,0.302,6,-12.085999999999999,1,0.0372,0.736,0.163,0.0887,0.33299999999999996,129.999
7005,Last Kiss,Pearl Jam,71,0.622,0.6920000000000001,7,-6.97,1,0.0276,0.363,0.00015800000000000002,0.193,0.774,112.053
7006,Lesson In Leavin',Jo Dee Messina,56,0.612,0.804,7,-7.275,1,0.0543,0.273,0.0,0.311,0.841,80.771
7007,Happily Ever After,Case,59,0.746,0.615,4,-7.124,0,0.0345,0.191,0.0,0.0861,0.512,120.04899999999999
7008,(Now You See Me) Now You Don't,Lee Ann Womack,13,0.32899999999999996,0.6559999999999999,5,-11.327,1,0.0612,0.54,0.8959999999999999,0.105,0.147,110.104
7009,I'll Be Your Everything,Youngstown,37,0.499,0.517,5,-9.044,1,0.0287,0.33799999999999997,0.0,0.23600000000000002,0.281,144.138
7010,Everyone Falls In Love,Tanto Metro & Devonte,54,0.754,0.7020000000000001,10,-8.033,0,0.0429,0.0275,0.0,0.0619,0.736,95.99799999999999
7011,Smile,Vitamin C Featuring Lady Saw,72,0.607,0.784,7,-6.292999999999999,1,0.268,0.433,0.0,0.6890000000000001,0.48200000000000004,81.00399999999999
7012,Everything Is Everything,Lauryn Hill,79,0.775,0.68,0,-5.507999999999999,0,0.0629,0.009059999999999999,0.0,0.109,0.6559999999999999,114.025
7013,Beautiful Stranger,Madonna,51,0.52,0.7559999999999999,11,-3.909,1,0.0288,0.122,3.53e-05,0.389,0.28600000000000003,122.448
7014,Tell Me It's Real,K-Ci & JoJo,58,0.53,0.364,0,-9.655,1,0.043,0.8370000000000001,0.0,0.11900000000000001,0.184,151.764
7015,Better Days (And The Bottom Drops Out),Citizen King,57,0.758,0.8959999999999999,9,-3.3110000000000004,1,0.0501,0.17300000000000001,3.18e-05,0.136,0.797,94.911
7016,God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,51,0.46799999999999997,0.535,10,-8.264,1,0.0436,0.44,0.0,0.10099999999999999,0.294,168.00099999999998
7017,Nookie,Limp Bizkit,59,0.5479999999999999,0.9259999999999999,11,-5.9670000000000005,1,0.0907,0.00237,0.163,0.7120000000000001,0.294,97.55
7018,"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin,38,0.616,0.9670000000000001,5,-3.6460000000000004,0,0.147,0.0721,0.0,0.813,0.359,120.109
7019,I Love You Came Too Late,Joey McIntyre,29,0.708,0.758,0,-5.94,1,0.0239,0.16899999999999998,0.0,0.106,0.767,97.979
7020,Sunshine,Coko,35,0.653,0.684,7,-5.03,1,0.0839,0.282,0.0,0.35,0.462,91.081
7021,You've Got A Way,Shania Twain,45,0.556,0.58,9,-7.23,1,0.033,0.35700000000000004,0.0,0.242,0.276,134.127
